연월,BPU,쿠폰유형,쿠폰할인
2025-01-01,Total,일반,1919200.0
2025-01-01,e-영업1,일반,1919200.0
2025-01-01,e-영업2,일반,
2025-01-01,Total,플러스,73716918.0
2025-01-01,e-영업1,플러스,7400427.0
2025-01-01,e-영업2,플러스,66239055.0
2025-01-01,e-영업3,플러스,63936.0
2025-01-01,e-영업4,플러스,13500.0
2025-01-01,입점,플러스,77436.0
2025-01-01,자사,플러스,73639482.0
2025-02-01,Total,일반,1135236.0
2025-02-01,e-영업1,일반,1135236.0
2025-02-01,e-영업2,일반,
2025-02-01,Total,플러스,66941073.0
2025-02-01,e-영업1,플러스,5519009.0
2025-02-01,e-영업2,플러스,58045664.0
2025-02-01,e-영업3,플러스,3365091.0
2025-02-01,e-영업4,플러스,11309.0
2025-02-01,입점,플러스,3376400.0
2025-02-01,자사,플러스,63564673.0
2025-03-01,Total,일반,1162518.0
2025-03-01,e-영업1,일반,1162518.0
2025-03-01,e-영업2,일반,
2025-03-01,Total,플러스,76254273.0
2025-03-01,e-영업1,플러스,3596373.0
2025-03-01,e-영업2,플러스,72299955.0
2025-03-01,e-영업3,플러스,357945.0
2025-03-01,e-영업4,플러스,
2025-03-01,입점,플러스,357945.0
2025-03-01,자사,플러스,75896327.0
2025-04-01,Total,일반,985736.0
2025-04-01,e-영업1,일반,985736.0
2025-04-01,e-영업2,일반,
2025-04-01,Total,플러스,76976473.0
2025-04-01,e-영업1,플러스,3958455.0
2025-04-01,e-영업2,플러스,70682727.0
2025-04-01,e-영업3,플러스,2335291.0
2025-04-01,e-영업4,플러스,
2025-04-01,입점,플러스,2335291.0
2025-04-01,자사,플러스,74641182.0
2025-05-01,Total,일반,1123264.0
2025-05-01,e-영업1,일반,1123264.0
2025-05-01,e-영업2,일반,
2025-05-01,Total,플러스,53940764.0
2025-05-01,e-영업1,플러스,5229345.0
2025-05-01,e-영업2,플러스,48711418.0
2025-05-01,e-영업3,플러스,
2025-05-01,e-영업4,플러스,
2025-05-01,입점,플러스,
2025-05-01,자사,플러스,53940764.0
2025-06-01,Total,일반,3620609.0
2025-06-01,e-영업1,일반,3033473.0
2025-06-01,e-영업2,일반,587136.0
2025-06-01,Total,플러스,59091573.0
2025-06-01,e-영업1,플러스,7873491.0
2025-06-01,e-영업2,플러스,51218082.0
2025-06-01,e-영업3,플러스,
2025-06-01,e-영업4,플러스,
2025-06-01,입점,플러스,
2025-06-01,자사,플러스,59091573.0
2025-07-01,Total,일반,662227.0
2025-07-01,e-영업1,일반,662227.0
2025-07-01,e-영업2,일반,
2025-07-01,Total,플러스,72527036.0
2025-07-01,e-영업1,플러스,5293636.0
2025-07-01,e-영업2,플러스,52282091.0
2025-07-01,e-영업3,플러스,14894436.0
2025-07-01,e-영업4,플러스,56873.0
2025-07-01,입점,플러스,14951309.0
2025-07-01,자사,플러스,57575727.0
2025-08-01,Total,일반,14880873.0
2025-08-01,e-영업1,일반,490618.0
2025-08-01,e-영업2,일반,14390255.0
2025-08-01,Total,플러스,67411527.0
2025-08-01,e-영업1,플러스,4363509.0
2025-08-01,e-영업2,플러스,47443618.0
2025-08-01,e-영업3,플러스,15599745.0
2025-08-01,e-영업4,플러스,4655.0
2025-08-01,입점,플러스,15604400.0
2025-08-01,자사,플러스,51807127.0
2025-09-01,Total,일반,41450055.0
2025-09-01,e-영업1,일반,5479891.0
2025-09-01,e-영업2,일반,35970164.0
2025-09-01,Total,플러스,81712273.0
2025-09-01,e-영업1,플러스,2869482.0
2025-09-01,e-영업2,플러스,62553464.0
2025-09-01,e-영업3,플러스,16289327.0
2025-09-01,e-영업4,플러스,
2025-09-01,입점,플러스,16289327.0
2025-09-01,자사,플러스,65422945.0
2025-10-01,Total,일반,111732055.0
2025-10-01,e-영업1,일반,3086173.0
2025-10-01,e-영업2,일반,108645882.0
2025-10-01,Total,플러스,108157936.0
2025-10-01,e-영업1,플러스,2433473.0
2025-10-01,e-영업2,플러스,88913245.0
2025-10-01,e-영업3,플러스,16811218.0
2025-10-01,e-영업4,플러스,
2025-10-01,입점,플러스,16811218.0
2025-10-01,자사,플러스,91346718.0
2025-11-01,Total,일반,1939309.0
2025-11-01,e-영업1,일반,806809.0
2025-11-01,e-영업2,일반,1132500.0
2025-11-01,Total,플러스,100301218.0
2025-11-01,e-영업1,플러스,4823136.0
2025-11-01,e-영업2,플러스,81208818.0
2025-11-01,e-영업3,플러스,14269264.0
2025-11-01,e-영업4,플러스,
2025-11-01,입점,플러스,14269264.0
2025-11-01,자사,플러스,86031955.0
2025-12-01,Total,일반,59701527.0
2025-12-01,e-영업1,일반,-77827.0
2025-12-01,e-영업2,일반,59779355.0
2025-12-01,Total,플러스,90474791.0
2025-12-01,e-영업1,플러스,4384855.0
2025-12-01,e-영업2,플러스,73854700.0
2025-12-01,e-영업3,플러스,12235236.0
2025-12-01,e-영업4,플러스,
2025-12-01,입점,플러스,12235236.0
2025-12-01,자사,플러스,78239555.0
2026-01-01,Total,일반,-4435655.0
2026-01-01,e-영업1,일반,0.0
2026-01-01,e-영업2,일반,-4435655.0
2026-01-01,Total,플러스,64888964.0
2026-01-01,e-영업1,플러스,5485391.0
2026-01-01,e-영업2,플러스,54090236.0
2026-01-01,e-영업3,플러스,5301336.0
2026-01-01,e-영업4,플러스,12000.0
2026-01-01,입점,플러스,5313336.0
2026-01-01,자사,플러스,59575627.0
2026-02-01,Total,일반,45616982.0
2026-02-01,e-영업1,일반,81245.0
2026-02-01,e-영업2,일반,45535736.0
2026-02-01,Total,플러스,52102982.0
2026-02-01,e-영업1,플러스,4121609.0
2026-02-01,e-영업2,플러스,45737527.0
2026-02-01,e-영업3,플러스,2209118.0
2026-02-01,e-영업4,플러스,34727.0
2026-02-01,입점,플러스,2243845.0
2026-02-01,자사,플러스,49859136.0
2026-03-01,Total,일반,2720400.0
2026-03-01,e-영업1,일반,263200.0
2026-03-01,e-영업2,일반,2457200.0
2026-03-01,Total,플러스,79521309.0
2026-03-01,e-영업1,플러스,5246764.0
2026-03-01,e-영업2,플러스,73769355.0
2026-03-01,e-영업3,플러스,305009.0
2026-03-01,e-영업4,플러스,200182.0
2026-03-01,입점,플러스,505191.0
2026-03-01,자사,플러스,79016118.0
2026-04-01,Total,일반,19610373.0
2026-04-01,e-영업1,일반,1868691.0
2026-04-01,e-영업2,일반,17741682.0
2026-04-01,Total,플러스,60326645.0
2026-04-01,e-영업1,플러스,4753191.0
2026-04-01,e-영업2,플러스,54261391.0
2026-04-01,e-영업3,플러스,1165973.0
2026-04-01,e-영업4,플러스,146091.0
2026-04-01,입점,플러스,1312064.0
2026-04-01,자사,플러스,59014582.0
2026-05-01,Total,일반,21176918.0
2026-05-01,e-영업1,일반,19591.0
2026-05-01,e-영업2,일반,21157327.0
2026-05-01,Total,플러스,43657282.0
2026-05-01,e-영업1,플러스,5693573.0
2026-05-01,e-영업2,플러스,38074455.0
2026-05-01,e-영업3,플러스,-91836.0
2026-05-01,e-영업4,플러스,-18909.0
2026-05-01,입점,플러스,-110745.0
2026-05-01,자사,플러스,43768027.0
2026-06-01,Total,일반,32789927.0
2026-06-01,e-영업1,일반,5491936.0
2026-06-01,e-영업2,일반,27297991.0
2026-06-01,Total,플러스,45412673.0
2026-06-01,e-영업1,플러스,8500582.0
2026-06-01,e-영업2,플러스,36912091.0
2026-06-01,e-영업3,플러스,
2026-06-01,e-영업4,플러스,
2026-06-01,입점,플러스,
2026-06-01,자사,플러스,45412673.0
2026-07-01,Total,일반,24004045.0
2026-07-01,e-영업1,일반,-123655.0
2026-07-01,e-영업2,일반,24127700.0
2026-07-01,Total,플러스,51394018.0
2026-07-01,e-영업1,플러스,7222600.0
2026-07-01,e-영업2,플러스,37968000.0
2026-07-01,e-영업3,플러스,6187264.0
2026-07-01,e-영업4,플러스,16155.0
2026-07-01,입점,플러스,6203418.0
2026-07-01,자사,플러스,45190600.0
