연월,BPU,쿠폰명,쿠폰ID,쿠폰유형,쿠폰할인
2025-01-01,e-영업1,[제휴전용] 12% 할인(IE),CPN703554,일반,2158245.0
2025-01-01,e-영업1,네이버쇼핑 10% 할인(남성),CPN676906,일반,-239045.0
2025-01-01,e-영업2,[제휴전용] 10%추가할인 (이월 ACC),CPN383518,플러스,18940718.0
2025-01-01,e-영업2,[제휴전용] 7%추가할인 (이월 남성),CPN409203,플러스,11465145.0
2025-01-01,e-영업2,[제휴전용] 9%추가할인 (이월 여성),CPN409202,플러스,10521664.0
2025-01-01,e-영업2,[제휴전용] 7%추가할인 (이월 여성),CPN409201,플러스,8201982.0
2025-01-01,e-영업2,[윈터슈퍼세일] 네이버 10% 플러스쿠폰 (최대 5만원 할인),CPN1139988,플러스,3845336.0
2025-01-01,e-영업2,[제휴전용] 9%추가할인 (이월 남성),CPN409204,플러스,3477573.0
2025-01-01,e-영업2,[제휴할인] 5%추가할인 (이월 남성),CPN383907,플러스,3177100.0
2025-01-01,e-영업1,[제휴전용] 10%추가할인 (골프/스포츠),CPN413857,플러스,2650345.0
2025-01-01,e-영업2,[제휴전용] 8%추가할인 (이월 골프),CPN383905,플러스,1252009.0
2025-01-01,e-영업2,[제휴전용] 8%추가할인 (이월 슈즈),CPN384029,플러스,1125727.0
2025-01-01,e-영업1,[윈터슈퍼세일] 네이버 10% 플러스쿠폰 (최대 5만원 할인),CPN1139988,플러스,1034509.0
2025-01-01,e-영업1,[설프라이즈] 네이버 5% 플러스쿠폰 (최대 5만원 할인),CPN1154102,플러스,822182.0
2025-01-01,e-영업2,[제휴전용] 4%추가할인 (이월 여성),CPN384742,플러스,742836.0
2025-01-01,e-영업1,[설 선물] 네이버 플러스 8% 쿠폰,CPN1144940,플러스,682000.0
2025-01-01,e-영업2, 네이버 10% 플러스 쿠폰 (15만원이상/최대5만원할인),CPN1131069,플러스,518691.0
2025-01-01,e-영업1,[WEEKEND SALE] 네이버 플러스 7% 쿠폰,CPN1135141,플러스,491336.0
2025-01-01,e-영업2,[설 선물] 네이버 플러스 8% 쿠폰,CPN1144940,플러스,478691.0
2025-01-01,e-영업1, 네이버 10% 플러스 쿠폰 (15만원이상/최대5만원할인),CPN1131069,플러스,356236.0
2025-01-01,e-영업2,[WEEKEND SALE] 네이버 플러스 7% 쿠폰,CPN1135141,플러스,328900.0
2025-01-01,e-영업1,[WEEKEND SALE] 네이버 플러스 7% 쿠폰,CPN1153723,플러스,319936.0
2025-01-01,e-영업2,[설프라이즈] 네이버 5% 플러스쿠폰 (최대 5만원 할인),CPN1154102,플러스,298327.0
2025-01-01,e-영업2,[제휴전용] 8% 추가할인 (이월 골프),CPN514212,플러스,241591.0
2025-01-01,e-영업2,[WEEKEND SALE] 네이버 플러스 7% 쿠폰,CPN1153723,플러스,182845.0
2025-01-01,e-영업2,[윈터슈퍼세일] 10% 플러스쿠폰 (최대 5만원 할인),CPN1139996,플러스,182127.0
2025-01-01,e-영업2,[윈터슈퍼세일] 네이버 8% 플러스쿠폰 (최대 5만원 할인),CPN1139999,플러스,158100.0
2025-01-01,e-영업1,[WEEKEND SALE] 네이버 플러스 7% 쿠폰,CPN1154205,플러스,148927.0
2025-01-01,e-영업3,[WEEKEND SALE] 네이버 플러스 7% 쿠폰,CPN1153723,플러스,146845.0
2025-01-01,e-영업3,[설 선물] 네이버 플러스 8% 쿠폰,CPN1144940,플러스,141227.0
2025-01-01,e-영업2,[WEEKEND SALE] 네이버 플러스 7% 쿠폰,CPN1154205,플러스,127182.0
2025-01-01,e-영업2,[설 선물] 플러스 8% 쿠폰,CPN1145005,플러스,122045.0
2025-01-01,e-영업3,[설프라이즈] 네이버 5% 플러스쿠폰 (최대 5만원 할인),CPN1154102,플러스,97255.0
2025-01-01,e-영업1,[제휴전용] 8%추가할인 (골프/스포츠),CPN402093,플러스,97045.0
2025-01-01,e-영업2,(제휴 최저가 자동 쿠폰)17020원 할인,NCPN0001702,플러스,92836.0
2025-01-01,e-영업1,(제휴 최저가 자동 쿠폰)12170원 할인,NCPN0001217,플러스,77445.0
2025-01-01,e-영업2,[WEEKEND SALE] 플러스 7% 쿠폰,CPN1135178,플러스,76182.0
2025-01-01,e-영업1,(제휴 최저가 자동 쿠폰)20490원 할인,NCPN0002049,플러스,74509.0
2025-01-01,e-영업1,(제휴 최저가 자동 쿠폰)25850원 할인,NCPN0002585,플러스,70500.0
2025-01-01,e-영업2,[설프라이즈] 5% 플러스쿠폰 (최대 5만원 할인),CPN1154137,플러스,70436.0
2025-01-01,e-영업2, 네이버 8% 플러스 쿠폰 (8만원 이상/최대 5만원 할인),CPN1131066,플러스,66118.0
