날짜,BPU,회원구분,CR,객단가,거래액,구매객수,트래픽
2025년 01월 1주차,Total,기존,9.292536830176461,163778.61672473868,94008926.0,574.0,6177.0
2025년 01월 2주차,Total,기존,8.881680568427557,176489.78608695653,101481627.0,575.0,6474.0
2025년 01월 3주차,Total,기존,9.334641163969266,156234.61821366026,89209967.0,571.0,6117.0
2025년 01월 4주차,Total,기존,9.50074515648286,154305.1745098039,78695639.0,510.0,5368.0
2025년 01월 5주차,Total,기존,11.369599440265873,168841.83538461538,109747193.0,650.0,5717.0
2025년 02월 1주차,Total,기존,9.426709008858431,156194.06914893616,88093455.0,564.0,5983.0
2025년 02월 2주차,Total,기존,10.607356715141146,146598.26774193547,90890926.0,620.0,5845.0
2025년 02월 3주차,Total,기존,10.256410256410255,135319.07352941178,82815273.0,612.0,5967.0
2025년 02월 4주차,Total,기존,11.087023846392071,148750.5251396648,106505376.0,716.0,6458.0
2025년 03월 1주차,Total,기존,11.799283154121863,134911.2928311057,111031994.0,823.0,6975.0
2025년 03월 2주차,Total,기존,11.444412851862383,124442.11552795031,100175903.0,805.0,7034.0
2025년 03월 3주차,Total,기존,11.08211818879509,115639.93074792244,83492030.0,722.0,6515.0
2025년 03월 4주차,Total,기존,12.505754181371797,118774.02822085889,96800833.0,815.0,6517.0
2025년 04월 1주차,Total,기존,12.66173752310536,129409.97445255474,106374999.0,822.0,6492.0
2025년 04월 2주차,Total,기존,12.626797880393642,124407.42565947243,103755793.0,834.0,6605.0
2025년 04월 3주차,Total,기존,12.614920874152222,117399.14814814815,98263087.0,837.0,6635.0
2025년 04월 4주차,Total,기존,12.633738824563975,110120.35730858469,94923748.0,862.0,6823.0
2025년 05월 1주차,Total,기존,12.599075297225893,122107.47968545216,93168007.0,763.0,6056.0
2025년 05월 2주차,Total,기존,12.225548902195609,124008.28027210884,91146086.0,735.0,6012.0
2025년 05월 3주차,Total,기존,11.736689913250553,119644.73043478261,82554864.0,690.0,5879.0
2025년 05월 4주차,Total,기존,12.201001297978861,113576.76291793313,74733510.0,658.0,5393.0
2025년 05월 5주차,Total,기존,13.498920086393088,106487.472,66554670.0,625.0,4630.0
2025년 06월 1주차,Total,기존,13.85008517887564,119600.0467404674,97234838.0,813.0,5870.0
2025년 06월 2주차,Total,기존,12.523191094619666,111726.66814814815,75415501.0,675.0,5390.0
2025년 06월 3주차,Total,기존,13.748148148148148,103570.52801724138,96113450.0,928.0,6750.0
2025년 06월 4주차,Total,기존,13.648208469055376,101127.7661097852,84745068.0,838.0,6140.0
2025년 07월 1주차,Total,기존,14.431267746784702,100129.4074074074,86511808.0,864.0,5987.0
2025년 07월 2주차,Total,기존,14.141257000622279,109112.13641364136,99182932.0,909.0,6428.0
2025년 07월 3주차,Total,기존,13.134582623509369,110459.73151750973,85164453.0,771.0,5870.0
2025년 07월 4주차,Total,기존,13.479181369089627,97861.36910994764,74766086.0,764.0,5668.0
2025년 07월 5주차,Total,기존,13.385686239514547,109578.792,82184094.0,750.0,5603.0
2025년 08월 1주차,Total,기존,13.86969397828233,114501.28351126927,96524582.0,843.0,6078.0
2025년 08월 2주차,Total,기존,13.2271344191874,118857.4898511502,87835685.0,739.0,5587.0
