날짜,BPU,회원구분,CR,객단가,거래액,구매객수,트래픽
2025-01-01,Total,기존,8.89917695473251,193620.19618146785,100488881.81818181,519.0,5832.0
2025-01-02,Total,기존,5.840071877807727,157338.0839160839,51134877.272727266,325.0,5565.0
2025-01-03,Total,기존,7.363636363636364,216481.8855218855,87675163.63636363,405.0,5500.0
2025-01-04,Total,기존,8.583264291632146,201905.8266058266,104587218.18181817,518.0,6035.0
2025-01-05,Total,기존,9.530815759359163,216131.81818181815,126004849.99999999,583.0,6117.0
2025-01-06,Total,기존,6.793573174991267,157655.2932928254,61327909.090909086,389.0,5726.0
2025-01-07,Total,기존,7.18093446221386,229786.72687574432,105242320.9090909,458.0,6378.0
2025-01-08,Total,기존,8.964764577486747,220997.98735177863,127073842.72727272,575.0,6414.0
2025-01-09,Total,기존,6.297872340425532,220075.28255528252,81427854.54545453,370.0,5875.0
2025-01-10,Total,기존,7.717215326497572,224297.9868616232,96223836.36363636,429.0,5559.0
2025-01-11,Total,기존,8.265538561666125,207928.27487473155,105627563.63636363,508.0,6146.0
2025-01-12,Total,기존,9.491629549992322,215935.36334215943,133448054.54545453,618.0,6511.0
2025-01-13,Total,기존,7.102318793578726,173192.98464092982,75858527.27272727,438.0,6167.0
2025-01-14,Total,기존,7.652115287375695,174850.360432519,79382063.63636363,454.0,5933.0
2025-01-15,Total,기존,7.811988208319685,181898.03316180673,86765361.81818181,477.0,6106.0
2025-01-16,Total,기존,7.89568345323741,173634.43777179538,76225518.18181817,439.0,5560.0
2025-01-17,Total,기존,7.853012497668345,184053.2714316562,77486427.27272727,421.0,5361.0
2025-01-18,Total,기존,8.506787330316742,204115.51257253383,95934290.9090909,470.0,5525.0
2025-01-19,Total,기존,9.944284990714165,225496.72789010647,132817572.72727272,589.0,5923.0
2025-01-20,Total,기존,8.134394341290893,169533.28063241104,77985309.09090908,460.0,5655.0
2025-01-21,Total,기존,7.781032588795313,186513.61069518715,79268284.54545453,425.0,5462.0
2025-01-22,Total,기존,8.052541404911478,180662.0889748549,76420063.63636363,423.0,5253.0
2025-01-23,Total,기존,7.788539144471347,199567.004239284,77032863.63636363,386.0,4956.0
2025-01-24,Total,기존,6.77463503649635,208746.61769207224,61997745.45454545,297.0,4384.0
2025-01-25,Total,기존,10.325406758448059,202722.056932966,100347418.18181817,495.0,4794.0
2025-01-26,Total,기존,8.72778110645097,178187.16455169543,77867790.9090909,437.0,5007.0
2025-01-27,Total,기존,9.32694228080687,227205.91785088571,106105163.63636363,467.0,5007.0
2025-01-28,Total,기존,8.942731277533039,206809.0461262875,83964472.72727272,406.0,4540.0
2025-01-29,Total,기존,9.751811992093124,219424.52907452907,97424490.9090909,444.0,4553.0
2025-01-30,Total,기존,11.137184115523466,183669.14689848237,113323863.63636363,617.0,5540.0
2025-01-31,Total,기존,9.159891598915989,173064.9094495248,87743909.09090908,507.0,5535.0
2025-02-01,Total,기존,10.250907890392869,202546.30361586882,125781254.54545453,621.0,6058.0
2025-02-02,Total,기존,10.991617902894196,221420.43165467627,153887200.0,695.0,6323.0
2025-02-03,Total,기존,5.51209750773149,139035.00750075004,42127607.272727266,303.0,5497.0
2025-02-04,Total,기존,6.78686851505358,172728.38915470493,68918627.27272727,399.0,5879.0
2025-02-05,Total,기존,7.766505903874937,207668.4056842515,96981145.45454545,467.0,6013.0
2025-02-06,Total,기존,7.397817643795081,168000.8818181818,67200352.72727272,400.0,5407.0
2025-02-07,Total,기존,9.243043393656352,212165.03349282296,100778390.9090909,475.0,5139.0
2025-02-08,Total,기존,8.636445081526608,191704.01735194266,92401336.36363636,482.0,5581.0
2025-02-09,Total,기존,11.08153078202995,222517.6085176085,148196727.27272725,666.0,6010.0
2025-02-10,Total,기존,7.630597014925374,139420.5712380529,57023013.63636363,409.0,5360.0
2025-02-11,Total,기존,9.357050213081342,176820.16201620162,89294181.81818181,505.0,5397.0
2025-02-12,Total,기존,9.417528579205225,169017.04326502015,87719845.45454545,519.0,5511.0
2025-02-13,Total,기존,7.420901246404601,164563.5189100305,63686081.81818181,387.0,5215.0
2025-02-14,Total,기존,9.002384737678854,178627.97511539233,80918472.72727272,453.0,5032.0
2025-02-15,Total,기존,9.452296819787986,186018.48768054374,99519890.9090909,535.0,5660.0
2025-02-16,Total,기존,12.234375,201883.7803320562,158075000.0,783.0,6400.0
2025-02-17,Total,기존,7.044975404075895,144436.975742462,57919227.272727266,401.0,5692.0
2025-02-18,Total,기존,7.177902962020716,132161.47295742232,52203781.81818181,395.0,5503.0
2025-02-19,Total,기존,7.682267387656163,186871.77846425417,76991172.72727272,412.0,5363.0
2025-02-20,Total,기존,8.252238224990268,175501.98327615779,74412840.9090909,424.0,5138.0
2025-02-21,Total,기존,8.992601024473535,198278.3275795934,93983927.27272727,474.0,5271.0
2025-02-22,Total,기존,9.195599862495703,157308.8020390824,84160209.09090908,535.0,5818.0
2025-02-23,Total,기존,11.560953666216824,181628.7230279448,140035745.45454544,771.0,6669.0
2025-02-24,Total,기존,8.587257617728532,201076.6862170088,99734036.36363636,496.0,5776.0
2025-02-25,Total,기존,9.037800687285223,179329.98617352228,94327572.72727272,526.0,5820.0
2025-02-26,Total,기존,8.19324302268647,154934.588917059,77777163.63636363,502.0,6127.0
2025-02-27,Total,기존,8.426359380626575,182507.61460761458,85413563.63636363,468.0,5554.0
2025-02-28,Total,기존,9.59568733153639,203767.41573033706,108811799.99999999,534.0,5565.0
2025-03-01,Total,기존,12.239975881820921,192384.57232422748,156216272.72727272,812.0,6634.0
2025-03-02,Total,기존,10.196487049717177,179965.6801592568,123276490.9090909,685.0,6718.0
2025-03-03,Total,기존,11.786563614744352,170578.7343803737,135268936.36363634,793.0,6728.0
2025-03-04,Total,기존,9.128763613068545,179883.25358851673,102533454.54545453,570.0,6244.0
2025-03-05,Total,기존,9.789362024549174,165044.75091471995,106618909.09090908,646.0,6599.0
2025-03-06,Total,기존,8.42790134664851,143761.33507426144,80075063.63636363,557.0,6609.0
2025-03-07,Total,기존,7.218070652173914,155122.56684491978,65927090.90909091,425.0,5888.0
2025-03-08,Total,기존,10.329941412272587,178135.447761194,119350749.99999999,670.0,6486.0
2025-03-09,Total,기존,12.865099850563782,176821.28251895937,167449754.54545453,947.0,7361.0
2025-03-10,Total,기존,7.611275964391691,113785.94719121035,58372190.90909091,513.0,6740.0
2025-03-11,Total,기존,7.966522008679479,127668.71241598867,65621718.18181818,514.0,6452.0
2025-03-12,Total,기존,9.979947555144223,142556.69523675705,92234181.81818181,647.0,6483.0
2025-03-13,Total,기존,8.746778350515463,143909.5094592332,78142863.63636363,543.0,6208.0
2025-03-14,Total,기존,8.741830065359476,179069.94902293966,95802422.72727272,535.0,6120.0
2025-03-15,Total,기존,11.849881796690308,164997.81228746314,132328245.45454544,802.0,6768.0
2025-03-16,Total,기존,12.82017075773746,185983.03850156086,178729700.0,961.0,7496.0
2025-03-17,Total,기존,9.02660310625865,141196.2366424036,82882190.9090909,587.0,6503.0
2025-03-18,Total,기존,7.086349099478202,123453.50896134743,51973927.272727266,421.0,5941.0
2025-03-19,Total,기존,8.753138075313807,117254.89309925256,61324309.090909086,523.0,5975.0
2025-03-20,Total,기존,8.101135190918471,150208.6469793476,70748272.72727272,471.0,5814.0
2025-03-21,Total,기존,8.215547703180212,121021.99804496577,56275229.090909086,465.0,5660.0
2025-03-22,Total,기존,11.286753082516599,164716.8449197861,117607827.27272727,714.0,6326.0
