연도,월,행사명,시작일,종료일
2025,1,새해 첫 L+DAY (신년 맞이 최대 혜택),2025-01-07,2025-01-09
2025,2,L+DAY (혜택도 플러스! 쇼핑의 즐거움도 플러스!),2025-02-03,2025-02-06
2025,3,L+DAY (컨템포러리 L+MEGA SALE 동시 진행),2025-03-04,2025-03-07
2025,4,L+DAY (아울렛 스프링 세일 동시 진행),2025-04-08,2025-04-10
2025,5,L+DAY (72시간 한정 최대 쇼핑 혜택),2025-05-12,2025-05-16
2025,6,L+DAY (아떼위크 X L+day 등 브랜드 콜라보),2025-06-02,2025-06-05
2025,7,L+DAY (아울렛 서머 베스트 세일),2025-07-08,2025-07-11
2025,8,L+DAY (아울렛 서머 클리어런스),2025-08-05,2025-08-08
2025,9,L+SUPER WEEK,2025-08-29,2025-09-05
2025,10,L+SUPER WEEK,2025-10-17,2025-10-24
2025,11,L+BLACK WEEK,2025-11-10,2025-11-17
2025,12,L+DAY (질스튜어트 스페셜위크 동시 진행),2025-12-08,2025-12-11
2026,1,"L+DAY (오늘의 브랜드: 블랙야크, K2 등)",2026-01-12,2026-01-15
2026,2,"L+DAY (윈터 파이널 세일, 오늘의 브랜드)",2026-02-02,2026-02-05
2026,3,"L+DAY (오늘의브랜드: 질스튜어트, 코오롱스포츠 등)",2026-03-02,2026-03-05
2026,4,L+Festa,2026-04-07,2026-04-09
2026,5,"L+DAY (컨템포러리 L+DAY, 72시간 한정)",2026-05-11,2026-05-15
2026,6,L+DAY (역시즌 특가),2026-06-02,2026-06-05
2026,7,L+DAY,2026-07-07,2026-07-09
2026,8,L+DAY,2026-08-04,2026-08-07
2026,9,L:Festa,2026-08-31,2026-09-07
